page,clicks,impressions,ctr,position
https://www.getlootlist.com/,139,1212,0.11468646864686469,6.846534653465347
https://www.getlootlist.com/compare,4,305,0.013114754098360656,12.58688524590164
https://www.getlootlist.com/about,2,155,0.012903225806451613,7.754838709677419
https://www.getlootlist.com/blog/how-to-set-up-a-fair-loot-system-for-your-wow-guild,1,99,0.010101010101010102,14.666666666666666
https://www.getlootlist.com/changelog,1,514,0.0019455252918287938,12.35603112840467
https://www.getlootlist.com/blog,0,245,0,24.63673469387755
https://www.getlootlist.com/blog/dkp-is-dead-what-classic-guilds-use-in-2026,0,2,0,8
https://www.getlootlist.com/blog/guild-recruitment-guide-find-raiders-who-stay,0,40,0,14.9
https://www.getlootlist.com/blog/how-to-handle-loot-drama-without-losing-raiders,0,16,0,7.875
https://www.getlootlist.com/blog/how-to-onboard-new-raiders-without-killing-morale,0,3,0,10.666666666666666
