query,clicks,impressions,ctr,position,cluster
lootlist+,41,65,0.6307692307692307,1,brand
lootlistplus,23,48,0.4791666666666667,1.0208333333333333,brand
lootlist,21,198,0.10606060606060606,3.085858585858586,brand
loot list,6,597,0.010050251256281407,7.324958123953099,unclustered
core loot manager guide,0,3,0,23,unclustered
dkp loot system,0,1,0,33,competitor
dragon kill points,0,2,0,59,unclustered
epgp loot system,0,1,0,22,competitor
gargul loot history,0,1,0,19,unclustered
getlist,0,9,0,54.666666666666664,unclustered
guild recruitment,0,1,0,34,unclustered
loot district,0,13,0,36.38461538461539,unclustered
loot masterlist,0,3,0,30,unclustered
lootplus,0,9,0,45.44444444444444,unclustered
mop classic phase 5 dps tier list,0,1,0,10,expansion
parseforge.gg,0,7,0,7.571428571428571,unclustered
siege of orgrimmar assignment sheet,0,1,0,2,unclustered
suicide kings loot system,0,8,0,29.25,competitor
suicide kings wow,0,3,0,22,competitor
the loot district,0,14,0,43.142857142857146,unclustered
tmb loot,0,17,0,9.352941176470589,competitor
tmb loot system,0,12,0,9.25,competitor
tmb prio,0,1,0,11,competitor
